成交日期,证券代码,买卖标志,成交数量,成交价格
2021-11-25,603358.SHA,买入,21200,22.08
2021-11-24,600735.SHA,卖出,100,7.36
2021-11-24,000055.SZA,卖出,200,4.9
2021-11-22,300789.SZA,卖出,15500,30.18
2021-11-15,600735.SHA,买入,100,6.93
2021-11-15,000055.SZA,买入,200,4.86
2021-11-11,300789.SZA,买入,15500,29.2
2021-11-09,600487.SHA,卖出,29200,15.61
2021-10-29,600487.SHA,买入,29200,14.82
2021-10-28,603366.SHA,卖出,45200,4.75
2021-10-27,600730.SHA,卖出,37800,5.79
2021-10-19,603366.SHA,买入,45200,5.11
2021-10-19,600730.SHA,买入,37800,6.11
2021-10-14,000529.SZA,卖出,58700,5.88
2021-10-13,000554.SZA,卖出,100,5.36
2021-10-11,002339.SZA,卖出,16400,7.13
2021-10-08,000554.SZA,买入,100,5.72
2021-09-30,002339.SZA,买入,16400,7.68
2021-09-29,601177.SHA,卖出,14500,8.74
2021-09-28,000529.SZA,买入,58700,5.68
2021-09-24,600067.SHA,卖出,72800,4.58
2021-09-22,601177.SHA,买入,14500,9.86
2021-09-22,600435.SHA,卖出,8000,8.9
2021-09-17,603969.SHA,卖出,16100,4.43
2021-09-17,600569.SHA,卖出,200,4.06
2021-09-16,603969.SHA,买入,16100,4.71
2021-09-16,600435.SHA,买入,8000,9.5
2021-09-15,002105.SZA,卖出,8400,9.45
2021-09-15,002012.SZA,卖出,10900,6.71
2021-09-13,002270.SZA,卖出,34700,7.96
2021-09-13,600067.SHA,买入,72800,4.73
2021-09-10,300150.SZA,卖出,13900,4.92
2021-09-10,002270.SZA,买入,34700,7.21
2021-09-09,002665.SZA,卖出,92200,2.72
2021-09-08,600569.SHA,买入,200,4.17
2021-09-06,300150.SZA,买入,13900,5.3
2021-09-06,002105.SZA,买入,8400,8.79
2021-09-06,002012.SZA,买入,10900,6.74
2021-09-03,000159.SZA,卖出,26500,8.34
2021-09-02,600569.SHA,卖出,200,3.82
2021-09-02,000720.SZA,卖出,100,4.55
2021-09-01,600569.SHA,买入,200,4.23
2021-08-31,002665.SZA,买入,92200,2.54
2021-08-31,000159.SZA,买入,26500,8.81
2021-08-30,600512.SHA,卖出,140000,3.35
2021-08-24,000720.SZA,买入,100,4.3
2021-08-24,601608.SHA,卖出,100,4.49
2021-08-23,601608.SHA,买入,100,4.08
2021-08-19,603009.SHA,卖出,100,6.58
2021-08-19,600512.SHA,买入,140000,3.51
2021-08-18,601958.SHA,卖出,65800,7.48
2021-08-10,603009.SHA,买入,100,6.54
2021-08-09,601958.SHA,买入,65800,7.72
2021-08-06,000559.SZA,卖出,100,5.4
2021-08-05,603685.SHA,卖出,39000,13.04
2021-08-03,000559.SZA,买入,100,5.71
2021-07-30,600537.SHA,卖出,100,5.12
2021-07-27,603685.SHA,买入,39000,12.61
2021-07-26,605366.SHA,卖出,27400,12.84
2021-07-26,603803.SHA,卖出,8300,8.22
2021-07-23,605366.SHA,买入,27400,13.55
2021-07-23,002962.SZA,卖出,5000,14.34
2021-07-22,600537.SHA,买入,100,4.61
2021-07-22,002349.SZA,卖出,68100,5.46
2021-07-21,002962.SZA,买入,5000,15.1
2021-07-21,603803.SHA,买入,8300,9.18
2021-07-20,603078.SHA,卖出,2800,26.54
2021-07-20,000040.SZA,卖出,26000,3.05
2021-07-20,002349.SZA,买入,68100,5.89
2021-07-20,600537.SHA,卖出,300,4.34
2021-07-16,600851.SHA,卖出,27700,9.41
2021-07-15,600537.SHA,买入,300,4.62
2021-07-15,002309.SZA,卖出,200,5.7
2021-07-15,002598.SZA,卖出,9700,7.37
2021-07-15,000737.SZA,卖出,7600,8.97
2021-07-12,002309.SZA,买入,200,6.08
2021-07-09,603078.SHA,买入,2800,25.6
2021-07-09,000040.SZA,买入,26000,2.81
2021-07-08,300678.SZA,卖出,7400,19.79
2021-07-07,600851.SHA,买入,27700,9.72
2021-07-06,002598.SZA,买入,9700,7.04
2021-07-06,000737.SZA,买入,7600,9.0
2021-07-06,002506.SZA,卖出,39200,4.05
2021-07-06,603685.SHA,卖出,9000,12.25
2021-07-05,002384.SZA,卖出,1700,20.11
2021-07-02,600212.SHA,卖出,17200,4.09
2021-07-01,002194.SZA,卖出,2600,12.7
