成交日期,证券代码,买卖标志,成交数量,成交价格
2021-11-25,603358.SHA,买入,66600,22.08
2021-11-24,600735.SHA,卖出,200,7.36
2021-11-24,000055.SZA,卖出,300,4.9
2021-11-22,300789.SZA,卖出,48700,30.18
2021-11-16,600609.SHA,卖出,300,7.29
2021-11-15,600735.SHA,买入,200,6.93
2021-11-15,000055.SZA,买入,300,4.86
2021-11-11,300789.SZA,买入,48700,29.2
2021-11-09,600487.SHA,卖出,91400,15.61
2021-11-05,600609.SHA,买入,300,6.58
2021-11-03,600376.SHA,卖出,300,4.77
2021-10-29,600487.SHA,买入,91400,14.82
2021-10-28,603366.SHA,卖出,143700,4.75
2021-10-28,600730.SHA,卖出,120100,5.62
2021-10-25,600376.SHA,买入,300,5.5
2021-10-20,600158.SHA,卖出,100,12.66
2021-10-19,603366.SHA,买入,143700,5.11
2021-10-19,600730.SHA,买入,120100,6.11
2021-10-18,002339.SZA,卖出,189200,7.65
2021-10-14,000529.SZA,卖出,3900,5.88
2021-10-11,600158.SHA,买入,100,13.5
2021-10-08,601177.SHA,卖出,200,9.27
2021-09-30,002339.SZA,买入,189200,7.68
2021-09-29,603969.SHA,卖出,170200,3.99
2021-09-29,600435.SHA,卖出,84300,9.21
2021-09-28,000529.SZA,买入,3900,5.68
2021-09-23,002270.SZA,卖出,2800,7.85
2021-09-22,601177.SHA,买入,200,9.86
2021-09-17,600569.SHA,卖出,300,4.06
2021-09-16,600435.SHA,买入,84300,9.5
2021-09-16,603969.SHA,买入,170200,4.71
2021-09-15,300150.SZA,卖出,101500,4.85
2021-09-15,002105.SZA,卖出,61200,9.45
2021-09-15,002012.SZA,卖出,79800,6.71
2021-09-10,002270.SZA,买入,2800,7.21
2021-09-09,002665.SZA,卖出,3900,2.72
2021-09-09,000159.SZA,卖出,1100,8.66
2021-09-08,600569.SHA,买入,300,4.17
2021-09-06,300150.SZA,买入,101500,5.3
2021-09-06,002012.SZA,买入,79800,6.74
2021-09-06,002105.SZA,买入,61200,8.79
2021-09-03,600782.SHA,卖出,190300,8.5
2021-08-31,002665.SZA,买入,3900,2.54
2021-08-31,000159.SZA,买入,1100,8.81
2021-08-30,600512.SHA,卖出,5900,3.35
2021-08-25,600782.SHA,买入,190300,7.94
2021-08-24,603118.SHA,卖出,167400,9.04
2021-08-19,600512.SHA,买入,5900,3.51
2021-08-16,601101.SHA,卖出,1500,6.9
2021-08-16,002544.SZA,卖出,700,13.77
2021-08-13,603118.SHA,买入,167400,9.73
2021-08-12,000559.SZA,卖出,292500,5.58
2021-08-05,601101.SHA,买入,1500,6.39
2021-08-05,002544.SZA,买入,700,13.85
2021-08-03,000559.SZA,买入,292500,5.71
2021-08-03,605366.SHA,卖出,1600,12.14
2021-08-02,300515.SZA,卖出,44400,11.62
2021-08-02,002937.SZA,卖出,37700,15.06
2021-08-02,600537.SHA,卖出,117000,5.03
2021-07-23,605366.SHA,买入,1600,13.55
2021-07-22,002937.SZA,买入,37700,14.28
2021-07-22,002135.SZA,卖出,2500,8.07
2021-07-22,300515.SZA,买入,44400,12.14
2021-07-22,600537.SHA,买入,117000,4.61
2021-07-21,002309.SZA,卖出,259000,6.26
2021-07-15,600537.SHA,买入,100,4.62
2021-07-13,002135.SZA,买入,2500,7.7
2021-07-12,002309.SZA,买入,259000,6.08
2021-07-12,002506.SZA,卖出,5000,3.92
2021-07-09,300678.SZA,卖出,81600,19.33
2021-07-01,002506.SZA,买入,5000,3.48
2021-06-30,002660.SZA,卖出,700,7.71
2021-06-30,002580.SZA,卖出,700,6.98
2021-06-30,002132.SZA,卖出,1500,3.75
2021-06-30,300678.SZA,买入,81600,21.03
2021-06-28,688356.SHA,卖出,5900,291.5
2021-06-21,002660.SZA,买入,700,7.66
2021-06-21,002580.SZA,买入,700,7.2
2021-06-21,002132.SZA,买入,1500,3.55
2021-06-17,688356.SHA,买入,5900,231.0
2021-06-16,600708.SHA,卖出,300,2.47
2021-06-16,000839.SZA,卖出,300,2.12
2021-06-16,600331.SHA,卖出,300,2.1
2021-06-15,000716.SZA,卖出,424400,3.25
2021-06-04,600708.SHA,买入,300,2.73
2021-06-04,600331.SHA,买入,300,2.42
2021-06-04,000839.SZA,买入,300,2.24
2021-06-03,000716.SZA,买入,424400,3.43
2021-06-03,601890.SHA,卖出,400,6.18
2021-06-02,603839.SHA,卖出,34900,11.07
2021-06-02,600814.SHA,卖出,44100,7.8
2021-06-02,600103.SHA,卖出,130600,2.79
2021-06-02,002329.SZA,卖出,65200,5.57
2021-05-25,601890.SHA,买入,400,6.05
2021-05-24,600814.SHA,买入,44100,7.85
2021-05-24,002329.SZA,买入,65200,5.31
2021-05-24,600812.SHA,卖出,200,9.91
2021-05-24,603839.SHA,买入,34900,9.92
2021-05-24,600103.SHA,买入,130600,2.65
2021-05-20,002527.SZA,卖出,195100,7.11
2021-05-13,600812.SHA,买入,200,10.91
2021-05-12,601866.SHA,卖出,600,3.2
2021-05-11,600429.SHA,卖出,100,5.12
2021-05-11,002527.SZA,买入,195100,6.8
2021-05-10,600307.SHA,卖出,284500,2.49
2021-05-10,601388.SHA,卖出,147400,4.21
2021-04-28,601866.SHA,买入,600,2.87
2021-04-27,600429.SHA,买入,100,5.13
2021-04-27,601798.SHA,卖出,200,5.78
2021-04-26,601388.SHA,买入,147400,3.88
2021-04-26,600307.SHA,买入,284500,2.01
2021-04-26,601611.SHA,卖出,100,7.86
2021-04-23,000978.SZA,卖出,59100,7.59
2021-04-23,600093.SHA,卖出,38900,8.04
2021-04-23,600088.SHA,卖出,28800,13.33
2021-04-16,601798.SHA,买入,200,7.4
2021-04-15,601611.SHA,买入,100,8.25
2021-04-14,600093.SHA,买入,38900,8.34
2021-04-14,600088.SHA,买入,28800,11.28
2021-04-14,000978.SZA,买入,59100,5.5
2021-04-14,600676.SHA,卖出,400,4.44
2021-04-13,002471.SZA,卖出,100,2.37
2021-04-12,300146.SZA,卖出,32900,29.69
2021-04-02,600676.SHA,买入,400,4.72
2021-04-01,002478.SZA,卖出,100,4.1
2021-04-01,002471.SZA,买入,100,2.48
2021-03-31,300146.SZA,买入,32900,27.87
2021-03-29,002668.SZA,卖出,152600,6.03
2021-03-23,002478.SZA,买入,100,4.21
2021-03-18,002668.SZA,买入,152600,6.0
2021-03-17,600691.SHA,卖出,328800,2.79
2021-03-08,600691.SHA,买入,328800,2.82
2021-03-03,300459.SZA,卖出,100,3.61
2021-03-02,600532.SHA,卖出,61600,15.07
2021-02-22,300459.SZA,买入,100,3.95
2021-02-19,600532.SHA,买入,61600,14.74
2021-02-18,601058.SHA,卖出,91100,9.98
2021-02-02,601018.SHA,卖出,100,3.82
2021-02-02,601058.SHA,买入,91100,9.79
2021-01-26,002011.SZA,卖出,225100,3.97
2021-01-22,601018.SHA,买入,100,4.05
2021-01-19,601898.SHA,卖出,100,4.46
2021-01-15,002011.SZA,买入,225100,4.01
2021-01-14,603985.SHA,卖出,39600,22.83
2021-01-08,601898.SHA,买入,100,4.71
2021-01-05,603985.SHA,买入,39600,26.79
2021-01-05,002506.SZA,卖出,100,4.11
2020-12-30,000830.SZA,卖出,85800,12.38
2020-12-24,002506.SZA,买入,100,4.44
2020-12-21,000830.SZA,买入,85800,13.22
2020-12-21,600403.SHA,卖出,100,4.22
2020-12-16,002340.SZA,卖出,100900,5.39
2020-12-16,000516.SZA,卖出,59100,10.02
2020-12-14,600261.SHA,卖出,100,3.76
2020-12-10,600403.SHA,买入,100,4.39
2020-12-07,000570.SZA,卖出,100,4.95
2020-12-07,000516.SZA,买入,59100,8.96
2020-12-07,002340.SZA,买入,100900,5.25
2020-12-04,600268.SHA,卖出,74000,7.27
2020-12-04,000063.SZA,卖出,15100,34.62
2020-12-03,600261.SHA,买入,100,4.36
2020-12-02,600076.SHA,卖出,200,3.66
2020-11-26,000570.SZA,买入,100,5.26
2020-11-25,600268.SHA,买入,74000,7.34
