,日期,收益率
0,2020-10-30,-5.64%
1,2020-11-02,-0.84%
2,2020-11-03,-0.84%
3,2020-11-04,3.07%
4,2020-11-05,3.12%
5,2020-11-06,-1.51%
6,2020-11-09,-0.02%
7,2020-11-10,-5.03%
8,2020-11-11,-11.03%
9,2020-11-12,-6.35%
10,2020-11-13,-8.49%
11,2020-11-16,0.59%
12,2020-11-17,-0.58%
13,2020-11-18,-10.52%
14,2020-11-19,-12.55%
15,2020-11-20,-11.59%
16,2020-11-23,-9.47%
17,2020-11-24,-9.47%
18,2020-11-25,-11.06%
19,2020-11-26,-8.52%
20,2020-11-27,-9.77%
21,2020-11-30,-10.96%
22,2020-12-01,-11.1%
23,2020-12-02,-10.83%
24,2020-12-03,-10.67%
25,2020-12-04,-11.77%
26,2020-12-07,-11.69%
27,2020-12-08,-11.0%
28,2020-12-09,-12.64%
29,2020-12-10,-11.4%
30,2020-12-11,-10.81%
31,2020-12-14,-10.51%
32,2020-12-15,-6.04%
33,2020-12-16,-5.59%
34,2020-12-17,-5.59%
35,2020-12-18,-5.58%
36,2020-12-21,-6.25%
37,2020-12-22,-11.65%
38,2020-12-23,-11.65%
39,2020-12-24,-12.19%
40,2020-12-25,-8.57%
41,2020-12-28,-9.52%
42,2020-12-29,-16.42%
43,2020-12-30,-17.04%
44,2020-12-31,-17.04%
45,2021-01-04,-17.04%
46,2021-01-05,-16.79%
47,2021-01-06,-19.1%
48,2021-01-07,-20.43%
49,2021-01-08,-22.17%
50,2021-01-11,-27.27%
51,2021-01-12,-27.27%
52,2021-01-13,-27.27%
53,2021-01-14,-27.27%
54,2021-01-15,-27.29%
55,2021-01-18,-28.02%
56,2021-01-19,-26.39%
57,2021-01-20,-25.66%
58,2021-01-21,-26.57%
59,2021-01-22,-26.02%
60,2021-01-25,-24.94%
61,2021-01-26,-28.11%
62,2021-01-27,-28.11%
63,2021-01-28,-28.11%
64,2021-01-29,-28.11%
65,2021-02-01,-28.11%
66,2021-02-02,-28.57%
67,2021-02-03,-25.42%
68,2021-02-04,-27.11%
69,2021-02-05,-34.53%
70,2021-02-08,-34.53%
71,2021-02-09,-34.53%
72,2021-02-10,-33.03%
73,2021-02-18,-28.38%
74,2021-02-19,-25.63%
75,2021-02-22,-26.03%
76,2021-02-23,-28.48%
77,2021-02-24,-27.99%
78,2021-02-25,-27.21%
79,2021-02-26,-29.7%
80,2021-03-01,-29.71%
81,2021-03-02,-29.71%
82,2021-03-03,-29.71%
83,2021-03-04,-29.71%
84,2021-03-05,-29.71%
85,2021-03-08,-30.48%
86,2021-03-09,-33.22%
87,2021-03-10,-34.3%
88,2021-03-11,-34.3%
89,2021-03-12,-33.07%
90,2021-03-15,-31.68%
91,2021-03-16,-31.77%
92,2021-03-17,-32.48%
93,2021-03-18,-32.95%
94,2021-03-19,-33.73%
95,2021-03-22,-32.2%
96,2021-03-23,-34.52%
97,2021-03-24,-36.61%
98,2021-03-25,-39.75%
99,2021-03-26,-38.7%
100,2021-03-29,-36.32%
101,2021-03-30,-38.78%
102,2021-03-31,-40.18%
103,2021-04-01,-39.42%
104,2021-04-02,-39.7%
105,2021-04-06,-40.16%
106,2021-04-07,-39.55%
107,2021-04-08,-39.55%
108,2021-04-09,-39.55%
109,2021-04-12,-41.57%
110,2021-04-13,-41.09%
111,2021-04-14,-39.47%
112,2021-04-15,-41.2%
113,2021-04-16,-41.88%
114,2021-04-19,-40.33%
115,2021-04-20,-40.35%
116,2021-04-21,-38.18%
117,2021-04-22,-38.18%
118,2021-04-23,-36.45%
119,2021-04-26,-39.08%
120,2021-04-27,-36.78%
121,2021-04-28,-37.04%
122,2021-04-29,-38.0%
123,2021-04-30,-41.71%
124,2021-05-06,-41.7%
125,2021-05-07,-40.48%
126,2021-05-10,-37.08%
127,2021-05-11,-39.14%
128,2021-05-12,-39.45%
129,2021-05-13,-41.52%
130,2021-05-14,-41.89%
131,2021-05-17,-43.0%
132,2021-05-18,-42.34%
133,2021-05-19,-42.34%
134,2021-05-20,-40.43%
135,2021-05-21,-41.65%
136,2021-05-24,-41.82%
137,2021-05-25,-41.56%
138,2021-05-26,-40.77%
139,2021-05-27,-40.85%
140,2021-05-28,-40.24%
141,2021-05-31,-40.03%
142,2021-06-01,-39.9%
143,2021-06-02,-39.47%
144,2021-06-03,-39.59%
145,2021-06-04,-40.2%
146,2021-06-07,-40.9%
147,2021-06-08,-40.77%
148,2021-06-09,-40.63%
149,2021-06-10,-40.57%
150,2021-06-11,-40.85%
151,2021-06-15,-41.53%
152,2021-06-16,-42.31%
153,2021-06-17,-41.79%
154,2021-06-18,-41.28%
155,2021-06-21,-39.49%
156,2021-06-22,-36.51%
157,2021-06-23,-37.09%
158,2021-06-24,-37.97%
159,2021-06-25,-37.58%
160,2021-06-28,-37.13%
161,2021-06-29,-37.18%
162,2021-06-30,-36.37%
163,2021-07-01,-37.55%
164,2021-07-02,-37.32%
165,2021-07-05,-37.59%
166,2021-07-06,-36.12%
167,2021-07-07,-37.13%
168,2021-07-08,-37.3%
169,2021-07-09,-36.7%
170,2021-07-12,-34.78%
171,2021-07-13,-35.87%
172,2021-07-14,-36.28%
173,2021-07-15,-37.2%
174,2021-07-16,-37.1%
175,2021-07-19,-37.04%
176,2021-07-20,-37.53%
177,2021-07-21,-37.55%
178,2021-07-22,-39.98%
179,2021-07-23,-42.05%
180,2021-07-26,-43.74%
181,2021-07-27,-41.79%
182,2021-07-28,-44.87%
183,2021-07-29,-40.5%
184,2021-07-30,-40.72%
185,2021-08-02,-40.14%
186,2021-08-03,-42.15%
187,2021-08-04,-41.43%
188,2021-08-05,-41.91%
189,2021-08-06,-41.91%
190,2021-08-09,-43.06%
191,2021-08-10,-44.56%
192,2021-08-11,-44.56%
193,2021-08-12,-44.03%
194,2021-08-13,-42.68%
195,2021-08-16,-43.21%
196,2021-08-17,-44.41%
197,2021-08-18,-43.81%
