,日期,收益率
0,2020-10-30,-5.64%
1,2020-11-02,-7.64%
2,2020-11-03,-7.78%
3,2020-11-04,-7.96%
4,2020-11-05,-7.18%
5,2020-11-06,-0.26%
6,2020-11-09,-2.12%
7,2020-11-10,6.97%
8,2020-11-11,6.97%
9,2020-11-12,12.59%
10,2020-11-13,10.02%
11,2020-11-16,20.93%
12,2020-11-17,19.52%
13,2020-11-18,7.58%
14,2020-11-19,5.14%
15,2020-11-20,6.29%
16,2020-11-23,8.85%
17,2020-11-24,8.85%
18,2020-11-25,6.93%
19,2020-11-26,9.98%
20,2020-11-27,8.48%
21,2020-11-30,7.05%
22,2020-12-01,6.88%
23,2020-12-02,7.21%
24,2020-12-03,7.4%
25,2020-12-04,6.07%
26,2020-12-07,6.18%
27,2020-12-08,7.02%
28,2020-12-09,5.02%
29,2020-12-10,6.53%
30,2020-12-11,7.25%
31,2020-12-14,7.61%
32,2020-12-15,13.01%
33,2020-12-16,13.55%
34,2020-12-17,13.56%
35,2020-12-18,13.56%
36,2020-12-21,12.75%
37,2020-12-22,6.41%
38,2020-12-23,4.69%
39,2020-12-24,0.48%
40,2020-12-25,7.61%
41,2020-12-28,8.55%
42,2020-12-29,6.23%
43,2020-12-30,6.18%
44,2020-12-31,6.18%
45,2021-01-04,6.18%
46,2021-01-05,6.5%
47,2021-01-06,3.53%
48,2021-01-07,1.83%
49,2021-01-08,-2.69%
50,2021-01-11,-7.48%
51,2021-01-12,-3.44%
52,2021-01-13,-6.84%
53,2021-01-14,-9.65%
54,2021-01-15,-9.68%
55,2021-01-18,-10.58%
56,2021-01-19,-8.56%
57,2021-01-20,-7.66%
58,2021-01-21,-8.78%
59,2021-01-22,-8.11%
60,2021-01-25,-6.76%
61,2021-01-26,-10.7%
62,2021-01-27,-10.7%
63,2021-01-28,-10.7%
64,2021-01-29,-10.7%
65,2021-02-01,-10.7%
66,2021-02-02,-11.28%
67,2021-02-03,-7.36%
68,2021-02-04,-9.45%
69,2021-02-05,-18.56%
70,2021-02-08,-17.74%
71,2021-02-09,-12.19%
72,2021-02-10,-11.18%
73,2021-02-18,-9.12%
74,2021-02-19,-7.66%
75,2021-02-22,-5.2%
76,2021-02-23,-7.67%
77,2021-02-24,-9.02%
78,2021-02-25,-10.44%
79,2021-02-26,-6.68%
80,2021-03-01,-5.82%
81,2021-03-02,-7.23%
82,2021-03-03,-7.23%
83,2021-03-04,-7.23%
84,2021-03-05,-7.23%
85,2021-03-08,-8.25%
86,2021-03-09,-11.87%
87,2021-03-10,-13.18%
88,2021-03-11,-8.58%
89,2021-03-12,-7.92%
90,2021-03-15,-5.95%
91,2021-03-16,-7.26%
92,2021-03-17,-8.37%
93,2021-03-18,-9.16%
94,2021-03-19,-11.75%
95,2021-03-22,-12.97%
96,2021-03-23,-11.75%
97,2021-03-24,-11.75%
98,2021-03-25,-12.82%
99,2021-03-26,-11.75%
100,2021-03-29,-8.06%
101,2021-03-30,-8.06%
102,2021-03-31,-7.99%
103,2021-04-01,-8.32%
104,2021-04-02,-7.07%
105,2021-04-06,-7.82%
106,2021-04-07,-10.03%
107,2021-04-08,-2.76%
108,2021-04-09,1.32%
109,2021-04-12,-2.23%
110,2021-04-13,-2.24%
111,2021-04-14,2.82%
112,2021-04-15,3.72%
113,2021-04-16,11.95%
114,2021-04-19,16.85%
115,2021-04-20,18.44%
116,2021-04-21,14.94%
117,2021-04-22,17.9%
118,2021-04-23,14.65%
119,2021-04-26,12.61%
120,2021-04-27,11.02%
121,2021-04-28,10.26%
122,2021-04-29,11.72%
123,2021-04-30,7.36%
124,2021-05-06,14.41%
125,2021-05-07,23.06%
126,2021-05-10,32.97%
127,2021-05-11,27.66%
128,2021-05-12,29.81%
129,2021-05-13,34.1%
130,2021-05-14,31.56%
131,2021-05-17,31.16%
132,2021-05-18,30.97%
133,2021-05-19,31.94%
134,2021-05-20,38.78%
135,2021-05-21,38.78%
136,2021-05-24,39.29%
137,2021-05-25,40.98%
138,2021-05-26,42.99%
